Area,Economic activity,Time period,"Hourly wage no educational degree, primary and lower secondary school certificate (€)",Hourly wage upper and post secondary (€),"Hourly wage tertiary (university, doctoral and specialization courses) (€)"
Nord-ovest,"Services (g to s, except o)",2021,10.8,12.08,15.8
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,11.63,12.22,15.38
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,11.68,12.25,15.28
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,11.74,12.38,15.52
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,11.83,12.44,15.66
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,11.93,12.59,15.89
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,12.0,12.73,15.81
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,12.19,12.98,16.68
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,12.08,12.81,16.84
Nord-ovest,Transportation and storage,2014,11.31,13.89,14.2
Nord-ovest,Transportation and storage,2015,11.4,14.03,14.27
Nord-ovest,Transportation and storage,2016,11.46,13.84,14.3
Nord-ovest,Transportation and storage,2017,11.46,13.76,14.33
Nord-ovest,Transportation and storage,2018,11.48,13.79,14.62
Nord-ovest,Transportation and storage,2019,11.77,13.67,14.62
Nord-ovest,Transportation and storage,2020,12.2,14.11,15.23
Nord-ovest,Transportation and storage,2021,12.12,14.02,15.42
Nord-ovest,Accommodation and food service activities,2014,10.0,10.2,10.4
Nord-ovest,Accommodation and food service activities,2015,9.97,10.2,10.46
Nord-ovest,Accommodation and food service activities,2016,9.95,10.18,10.48
Nord-ovest,Accommodation and food service activities,2017,10.03,10.27,10.54
Nord-ovest,Accommodation and food service activities,2018,10.1,10.34,10.62
Nord-ovest,Accommodation and food service activities,2019,10.16,10.43,10.69
Nord-ovest,Accommodation and food service activities,2020,10.45,10.64,11.01
Nord-ovest,Accommodation and food service activities,2021,10.39,10.64,10.97
Nord-ovest,Information and communication,2014,13.84,15.8,17.61
Nord-ovest,Information and communication,2015,15.01,16.24,17.42
Nord-ovest,Information and communication,2016,13.99,15.92,17.34
Nord-ovest,Information and communication,2017,14.73,16.27,17.53
Nord-ovest,Information and communication,2018,14.68,16.32,17.68
Nord-ovest,Information and communication,2019,14.13,15.71,17.38
Nord-ovest,Information and communication,2020,12.81,15.31,17.55
Nord-ovest,Information and communication,2021,13.86,16.3,18.08
Nord-ovest,Financial and insurance activities,2014,20.12,23.38,22.25
Nord-ovest,Financial and insurance activities,2015,19.91,23.26,22.36
Nord-ovest,Financial and insurance activities,2016,20.04,23.47,22.65
Nord-ovest,Financial and insurance activities,2017,20.2,23.56,22.77
Nord-ovest,Financial and insurance activities,2018,20.21,23.7,23.13
Nord-ovest,Financial and insurance activities,2019,19.83,23.4,22.97
Nord-ovest,Financial and insurance activities,2020,20.44,24.3,24.0
Nord-ovest,Financial and insurance activities,2021,19.98,24.16,24.23
Nord-ovest,Real estate activities,2014,10.58,11.56,13.82
Nord-ovest,Real estate activities,2015,10.78,11.34,13.31
Nord-ovest,Real estate activities,2016,10.79,11.45,13.29
Nord-ovest,Real estate activities,2017,10.77,11.67,13.71
Nord-ovest,Real estate activities,2018,10.65,11.58,13.87
